src,dst,w
872550,1347119,3
136988,1524049,1
136988,1838136,1
1524049,1838136,1
136988,194531,1
872550,1269754,1
221601,392813,2
175196,1395960,1
78043,928125,1
381481,928125,1
1424948,1655863,2
78043,972885,2
972885,1586237,1
78043,1586237,1
1420831,1586237,1
63039,1429859,1
201242,361966,2
151256,886739,1
886739,1395960,1
43445,865648,1
381481,541174,3
1510600,1711151,2
718934,1510600,2
199478,1291907,3
958744,1178794,10
39263,1419621,4
1181010,1419621,18
132459,1731579,4
1178794,1510600,3
1047571,1190666,1
1190666,1229356,2
1436428,1903340,5
1336317,1903340,19
87936,1483148,1
164543,1483148,1
1101578,1461338,1
1224573,1461338,1
1461338,1903340,1
1461338,1852637,1
719828,1461338,1
1101578,1224573,2
1101578,1903340,2
1101578,1852637,2
719828,1101578,2
1224573,1903340,2
1224573,1852637,2
719828,1224573,2
1852637,1903340,6
719828,1852637,5
1379975,1493052,3
415614,1285832,3
215146,718371,3
570674,806884,1
570674,1325577,1
942448,1379975,2
28717,1590401,2
28717,1733708,2
806884,1319539,3
806884,1590401,3
806884,1733708,3
806884,1422224,3
1325324,1733708,1
168849,392813,2
1202837,1427626,2
735146,1116722,4
249691,1050919,4
753417,1307638,9
27082,1428261,2
27082,1037894,1
1037894,1428261,1
1056365,1177630,3
381481,1506957,1
112590,1655863,1
149381,1524049,4
149381,872550,4
408167,1419621,7
1379975,1384763,2
1731579,1826628,2
958744,1731579,2
1178794,1731579,2
958744,1826628,2
804113,1826628,2
132459,1826628,2
1095517,1826628,2
1178794,1826628,2
1711151,1826628,2
804113,958744,2
132459,958744,2
958744,1095517,2
958744,1711151,2
132459,804113,2
804113,1178794,2
132459,1095517,2
132459,1711151,2
1095517,1178794,2
1095517,1711151,2
1178794,1711151,2
1264821,1458318,3
491362,1095517,3
361827,735146,1
1481921,1734374,3
1453559,1481921,1
1453559,1734374,1
1388590,1617724,1
517929,1473253,4
54187,1178794,1
349133,739556,1
739556,765117,2
349133,765117,1
737527,1139301,3
122787,737527,2
737527,1038654,2
737527,1436914,1
203110,737527,1
145712,737527,1
349133,1139301,1
122787,349133,1
349133,1038654,1
349133,1436914,1
203110,349133,1
145712,349133,2
122787,1139301,2
1038654,1139301,2
1139301,1436914,1
203110,1139301,1
145712,1139301,1
122787,1038654,2
122787,1436914,1
122787,203110,1
122787,145712,1
1038654,1436914,1
203110,1038654,1
145712,1038654,1
203110,1436914,1
145712,1436914,1
145712,203110,1
765117,1408775,1
1408775,1680445,1
784294,1408775,2
765117,1680445,1
765117,784294,1
784294,1680445,1
243310,1408775,1
160435,1504425,1
817228,979961,1
979961,1436914,1
817228,1436914,1
739556,1177630,1
247236,1177630,3
281930,1177630,1
247236,739556,2
281930,739556,1
247236,281930,1
739556,784294,1
243364,739556,2
243364,784294,1
247236,817228,1
145712,247236,1
247236,349133,1
145712,817228,1
349133,817228,1
739556,848211,1
739408,896140,1
247236,739408,1
737527,739408,1
243310,739408,3
739408,1594817,1
247236,896140,2
737527,896140,1
243310,896140,1
896140,1594817,1
247236,737527,2
243310,247236,1
247236,1594817,1
243310,737527,1
737527,1594817,1
243310,1594817,1
349133,1422809,1
765117,991008,1
739556,991008,2
739408,908688,1
739408,848211,4
848211,908688,1
440377,1504425,1
624644,1177630,1
624644,1056365,1
340772,737527,3
737527,739556,1
737527,991008,1
247236,340772,1
340772,739556,1
340772,991008,1
247236,991008,1
245062,896140,1
243364,1011294,1
1011294,1269124,1
1011294,1320576,1
243364,1269124,1
243364,1320576,1
1269124,1320576,1
765117,1011294,1
1011294,1177630,1
765117,1177630,2
1376706,1588959,1
916682,1588959,1
916682,1376706,1
318866,1408775,1
318866,784294,1
462476,737527,1
146077,737527,1
340772,1139301,2
122787,340772,1
340772,1038654,1
340772,462476,1
146077,340772,1
462476,1139301,1
146077,1139301,1
122787,462476,1
122787,146077,1
462476,1038654,1
146077,1038654,1
146077,462476,1
269053,370663,1
269053,806870,1
370663,806870,5
185135,1005672,2
185135,753417,1
487602,1181154,1
306863,957757,2
533449,808372,3
221395,808372,3
221395,533449,3
1201304,1419021,1
1419021,1748866,3
428370,533449,3
533449,1499193,1
428370,1499193,1
28717,614375,3
428370,808372,2
766800,808372,2
221395,428370,3
221395,766800,2
428370,766800,2
533449,766800,2
428370,957757,1
221395,957757,8
428370,1597918,1
221395,1597918,1
306863,1597918,1
306863,428370,1
221395,306863,1
62878,1499193,1
134373,1499193,1
62878,134373,1
533449,614375,1
614375,1342691,1
346539,808372,1
808372,1289475,1
221395,346539,1
221395,1289475,1
346539,428370,1
428370,1289475,1
346539,766800,1
346539,533449,1
346539,1289475,1
766800,1289475,1
533449,1289475,2
154812,344666,2
154812,1481921,3
344666,1481921,1
569157,806870,1
221246,1734374,1
1116722,1235259,1
1264821,1434965,1
249691,1428261,1
282532,1671927,1
269120,282532,1
269120,1671927,1
580757,1642524,2
43318,1051212,1
43318,119740,1
119740,1051212,1
370663,1144066,2
806870,1144066,1
1307638,1427626,1
1307638,1428261,1
1202837,1307638,1
1427626,1428261,1
1202837,1428261,1
80000,249694,2
109445,1140977,1
735146,1140977,2
109445,735146,1
1481921,1628516,4
297752,1481921,3
942448,1384751,3
112590,134698,2
151256,803257,1
201242,1506924,2
63039,112590,1
119740,1384763,9
1241311,1627361,1
1051212,1241311,1
1241311,1384763,1
1384763,1627361,2
279192,1753249,1
408167,1753249,1
942448,1279423,2
1279423,1384751,2
464806,1336317,8
464806,1903340,8
719828,1423030,3
1423030,1457222,3
854562,1090116,3
854562,1326956,3
854562,1457222,3
1296410,1326956,2
631486,1336466,1
631486,1336317,6
453928,719828,2
1326956,1621687,5
1336317,1734202,2
48004,1657038,1
1239925,1336317,2
1090116,1621687,1
614375,1590401,2
1001334,1590401,2
614375,1733708,2
1001334,1733708,2
614375,1001334,2
16833,1731579,1
16833,1468293,1
793814,1524049,2
37816,39263,5
37816,1181010,5
1337117,1644818,3
753417,1644818,3
645526,1654841,1
48004,645526,1
718934,1095517,1
815013,1628516,1
160435,1139301,1
1139301,1588959,1
160435,1588959,1
249691,1307638,2
119740,1487062,7
119740,1285832,3
728924,957757,3
957757,1304669,8
728924,1304669,3
221395,728924,2
728924,1422224,3
221395,1304669,7
221395,1422224,7
5458,957757,7
5458,728924,1
5458,1304669,6
5458,221395,6
5458,1422224,7
726647,1319539,3
62878,533449,1
62878,1289475,1
1304669,1419021,1
1304669,1748866,1
614375,1304669,1
5458,147875,2
147875,1422224,2
147875,1304669,1
147875,221395,1
728924,1319539,1
726647,728924,1
965574,1005672,1
1005672,1008768,1
1423030,1893289,2
464806,1436428,2
464806,631486,2
631486,1436428,4
631486,1903340,6
1181010,1511963,4
1511963,1644673,4
453928,1903340,2
453928,1026691,1
453928,1621664,1
1026691,1903340,1
1026691,1621664,1
719828,1026691,1
82061,1481201,5
554859,1296410,2
554859,1457222,1
1181010,1443331,6
1336317,1621664,2
1419621,1644673,2
537228,1384763,3
119740,537228,3
159506,1645512,1
159506,448736,1
159506,1018858,1
159506,1384751,1
448736,1645512,1
1018858,1645512,1
1384751,1645512,1
1018858,1384751,1
25258,1051212,1
25258,1384959,1
1051212,1384959,1
1181010,1183169,5
89157,1183169,5
1183169,1443331,4
89157,1181010,5
89157,1443331,3
535196,1116824,4
39263,1641241,1
624155,1140977,1
82061,650279,2
82061,1474169,2
82061,1181796,2
82061,1419621,6
650279,1481201,2
650279,1474169,2
650279,1181796,2
650279,1419621,2
1474169,1481201,2
1181796,1481201,2
1181796,1474169,2
1419621,1474169,2
1181796,1419621,2
40251,650279,1
37816,535196,1
535196,890290,2
37816,890290,1
234143,408167,2
408167,650279,1
234143,650279,2
1297517,1443331,2
39263,1286380,1
1286380,1419621,1
1181010,1286380,1
625195,1202837,3
1384751,1493052,1
87417,1347119,4
87417,252998,3
252998,1347119,3
1051156,1379975,1
1051156,1051212,1
499070,965888,1
631323,965888,1
631323,965574,2
499070,631323,1
1116824,1419621,3
1116824,1181010,4
246105,747266,2
246105,1596633,1
747266,1596633,1
1569691,1732613,1
1379421,1569691,1
476306,965574,1
221246,747266,1
747266,1124114,1
344666,747266,1
221246,1124114,1
221246,344666,1
344666,1124114,2
719828,1111773,1
585027,1728727,4
1642524,1728727,1
1116824,1297517,1
1181010,1481201,1
1481201,1644673,1
39263,1443331,1
535196,1443331,1
535196,1297517,1
148477,249694,4
238547,249691,1
453928,843705,2
843705,1903340,1
726647,1382811,2
80570,1426360,3
80570,753417,3
28717,1319539,1
28717,1422224,1
28717,1001334,1
614375,1319539,1
1001334,1319539,1
614375,1422224,1
1001334,1422224,1
1111773,1336317,1
453928,1111773,1
843705,1111773,1
631486,719828,1
719828,1336317,1
1111773,1852637,1
1111773,1239925,1
1111773,1436428,1
631486,1111773,1
1138902,1419021,1
327999,1419021,1
1419021,1468531,1
306863,1419021,1
327999,1748866,1
1468531,1748866,1
306863,1748866,1
327999,1138902,1
1138902,1468531,1
306863,1138902,1
327999,1468531,1
306863,327999,1
306863,1468531,1
1457222,1903340,1
137532,1384763,1
221246,1304439,1
221246,1596988,1
1304439,1596988,1
749327,752662,1
249691,1337117,1
145520,491362,1
1388590,1569691,1
257696,581365,1
462476,1436914,1
737527,1302296,1
340772,1302296,1
1139301,1302296,1
462476,1269124,1
145712,765117,1
340772,765117,1
145712,340772,1
293139,1307638,1
471509,1432546,1
367504,1432546,1
39263,890290,1
641461,890290,1
1297517,1419621,1
82061,234143,1
234143,1481201,1
234143,1181796,1
234143,1474169,1
234143,1419621,1
246105,806870,1
246105,297752,1
236440,246105,1
246105,817564,1
246105,1481921,1
297752,806870,1
236440,806870,1
747266,806870,1
